5	951290	951410
2	10676420	10676603
4	15074895	15075076
4	15415376	15415560
5	3456593	3456782
5	3867163	3867282
5	9136076	9136267
2	8412539	8412658
5	22597037	22597156
1	19807040	19807159
2	17589016	17589135
1	24913155	24913346
1	24921054	24921245
3	6244477	6244743
1	18026939	18027058
3	3366299	3366461
1	20772223	20772342
1	27713184	27713304
1	6220600	6220883
2	18994776	18994896
2	16340232	16340412
4	9888936	9889056
5	19009045	19009228
1	17825681	17825801
1	17825672	17825792
5	2634886	2635069
5	7740560	7740746
1	24884309	24884432
2	19520720	19520840
5	287536	287786
5	9852634	9852817
1	78882	79080
4	369806	369926
2	19176078	19176311
3	22922162	22922371
5	2838687	2838807
5	2840658	2840778
5	16775474	16775706
5	17516328	17516448
5	25504832	25504952
3	8108040	8108242
3	23406127	23406247
3	1306580	1306820
1	11137506	11137627
4	10578602	10578807
5	18358753	18358943
3	4358961	4359252
5	8527461	8527663
5	15870818	15870938
1	20039506	20039626
1	20041536	20041656
3	4805663	4805869
4	11482984	11483164
1	6695494	6695614
3	9872056	9872176
3	9872433	9872553
3	9875625	9875745
3	9875990	9876110
3	9878268	9878388
3	9878640	9878760
5	26411544	26411705
3	19073402	19073591
1	3961317	3961500
1	22930045	22930227
2	11942868	11942988
5	1188161	1188347
3	3599741	3599861
3	20587871	20588061
5	23988434	23988636
3	8236111	8236297
2	15611823	15611943
2	15611832	15611952
2	15611903	15612023
4	11370251	11370371
5	7168829	7168949
3	22537258	22537378
3	2854261	2854464
5	400352	400534
1	233967	234196
1	11901417	11901538
3	17402744	17402865
3	5499993	5500193
4	1046898	1047019
5	13622619	13622739
5	22251777	22251897
5	19566988	19567108
4	12353059	12353179
5	16660419	16660539
2	17029820	17029940
5	7583082	7583374
3	6217449	6217629
2	16061921	16062093
5	23636911	23637103
5	24293110	24293281
4	2179039	2179159
4	7890540	7890765
5	15758061	15758181
2	16652061	16652275
3	20691607	20691848
1	7058157	7058276
1	28568771	28568967
1	9363156	9363276
1	9364490	9364610
1	9367099	9367219
1	26269939	26270059
1	26272736	26272856
1	26273889	26274009
2	4142281	4142513
5	13611758	13611974
4	2625910	2626030
4	7878680	7878800
2	1040898	1041082
5	4690983	4691177
5	4694655	4694848
1	10227115	10227235
1	23345337	23345457
5	24962447	24962638
2	14442938	14443058
2	14443532	14443652
2	14445034	14445154
1	11785897	11786017
4	5020309	5020429
1	29016536	29016657
2	19415027	19415224
1	11230524	11230647
2	9634951	9635074
5	20632533	20632656
4	2789620	2789743
1	19430101	19430221
2	13866226	13866346
2	19319816	19320003
1	23057989	23058109
1	25137469	25137589
1	27986968	27987088
2	7008526	7008646
2	13708717	13708837
3	6516215	6516335
4	15660323	15660443
5	25230594	25230714
4	8460486	8460607
1	22372640	22372760
1	28889345	28889551
